session,stim,phy_dir,ap_dir,lfp_dir,age,notes,s1_upper_um,s1_lower_um,vpl_upper_um,vpl_lower_um
a1,spon,C:\Users\Ben\Desktop\Spon Final\A1,E:\Neurpixels_Sally\practice1_SZMB_spon_final_2024-11-19_15-09-15\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_spon_final_2024-11-19_15-09-15\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,pinch_contra,C:\Users\Ben\Desktop\Contra Pinch/A1,E:\Neurpixels_Sally\practice1_SZMB_jawpinch_final_2024-11-19_15-21-26\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_jawpinch_final_2024-11-19_15-21-26\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,pinch_ipsi,C:\Users\Ben\Desktop\Ipsi Pinch\A1,E:\Neurpixels_Sally\practice1_SZMB_jawpinch_ipsi_final_2024-11-19_15-23-18\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_jawpinch_ipsi_final_2024-11-19_15-23-18\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,pinch_tail,C:\Users\Ben\Desktop\Tail Pinch\A1,E:\Neurpixels_Sally\practice1_SZMB_tailpinch_final_2024-11-19_15-26-26\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_tailpinch_final_2024-11-19_15-26-26\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,brush_contra,C:\Users\Ben\Desktop\Contra Brush\A1,E:\Neurpixels_Sally\practice1_SZMB_brush_final_2024-11-19_15-18-20\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_brush_final_2024-11-19_15-18-20\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,brush_ipsi,C:\Users\Ben\Desktop\Ipsi Brush\A1,E:\Neurpixels_Sally\practice1_SZMB_brushipsi_final_2024-11-19_15-25-09\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice1_SZMB_brushipsi_final_2024-11-19_15-25-09\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Good reading,0,1300,2900,3500
a1,brush_tail,,,,adult,No recording,0,1300,2900,3500
a2,spon,C:\Users\Ben\Desktop\Spon Final\A2,E:\Neurpixels_Sally\practice2_SZMB_spon_final_2024-11-20_16-19-00\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_spon_final_2024-11-20_16-19-00\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Healthy,0,1300,2900,3500
a2,pinch_contra,C:\Users\Ben\Desktop\Contra Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_contra_final_2024-11-20_16-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_contra_final_2024-11-20_16-59-31\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a2,pinch_ipsi,C:\Users\Ben\Desktop\Ipsi Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_ipsi_final_2024-11-20_17-00-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_ipsi_final_2024-11-20_17-00-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a2,pinch_tail,C:\Users\Ben\Desktop\Tail Pinch\A2,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_tail_final_2024-11-20_17-01-11\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_jawpinch_tail_final_2024-11-20_17-01-11\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a2,brush_contra,C:\Users\Ben\Desktop\Contra Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_brush_final_2024-11-20_16-27-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_brush_final_2024-11-20_16-27-24\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a2,brush_ipsi,C:\Users\Ben\Desktop\Ipsi Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_ipsibrush_final_2024-11-20_16-28-12\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_ipsibrush_final_2024-11-20_16-28-12\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a2,brush_tail,C:\Users\Ben\Desktop\Tail Brush\A2,E:\Neurpixels_Sally\practice2_SZMB_tailbrush_final_2024-11-20_16-28-59\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice2_SZMB_tailbrush_final_2024-11-20_16-28-59\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Not great? Where was this inserted?,0,1300,2900,3500
a3,spon,C:\Users\Ben\Desktop\Spon Final\A3,E:\Neurpixels_Sally\practice3_SZMB_spon_final_2024-11-21_15-40-30\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice3_SZMB_spon_final_2024-11-21_15-40-30\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Stable,0,1300,2900,3500
a3,pinch_contra,C:\Users\Ben\Desktop\Contra Pinch\A3,E:\Neurpixels_Sally\practice3_SZMB_jawpinch_contra_final_2024-11-21_16-13-07\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice3_SZMB_jawpinch_contra_final_2024-11-21_16-13-07\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Sprase?,0,1300,2900,3500
a3,pinch_ipsi,C:\Users\Ben\Desktop\Ipsi Pinch\A3 - R3,E:\Neurpixels_Sally\practice3_SZMB_jawpinch_ipsi_final_2024-11-21_16-14-42\Record Node 118\experiment1\recording2\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice3_SZMB_jawpinch_ipsi_final_2024-11-21_16-14-42\Record Node 118\experiment1\recording2\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,R2 Okay?,0,1300,2900,3500
a3,pinch_tail,,,,adult,No recording,0,1300,2900,3500
a3,brush_contra,C:\Users\Ben\Desktop\Contra Brush\A3,E:\Neurpixels_Sally\practice3_SZMB_brush_final_2024-11-21_15-47-33\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-AP,E:\Neurpixels_Sally\practice3_SZMB_brush_final_2024-11-21_15-47-33\Record Node 118\experiment1\recording1\continuous\Neuropix-PXI-117.ProbeA-LFP,adult,Sparse,0,1300,2900,3500
